Stock Name,NSE Symbol,Sector,Market Cap,ROE (%),ROCE (%),P/E Ratio,Sales Growth (%)
Voltas,VOLTAS,Consumer Durables,"₹54,321 cr",18.4,23.6,38.20,14.60
Blue Star,BLUESTARCO,Consumer Durables,"₹32,456 cr",20.8,25.3,46.70,16.90
Crompton Greaves Consumer,CROMPTON,Consumer Durables,"₹28,234 cr",19.2,24.1,52.30,13.40
Page Industries,PAGEIND,Textiles & Apparel,"₹41,234 cr",52.3,59.4,53.50,12.60
Aditya Birla Fashion,ABFRL,Textiles & Apparel,"₹34,567 cr",8.4,12.3,N/A,28.40
Raymond,RAYMOND,Textiles & Apparel,"₹18,945 cr",14.6,18.9,24.70,15.30
Grasim Industries,GRASIM,Textiles & Apparel,₹1.23 lakh cr,16.8,21.4,18.60,11.90
Trident,TRIDENT,Textiles & Apparel,"₹12,345 cr",15.2,19.6,12.80,14.20
Zee Entertainment,ZEEL,Media & Entertainment,"₹28,945 cr",8.2,11.6,18.40,22.30
PVR Inox,PVRINOX,Media & Entertainment,"₹34,567 cr",6.4,10.2,N/A,N/A
Sun TV Network,SUNTV,Media & Entertainment,"₹56,789 cr",24.6,31.4,18.90,9.80
TV18 Broadcast,TV18BRDCST,Media & Entertainment,"₹12,345 cr",4.2,8.7,N/A,N/A
Saregama India,SAREGAMA,Media & Entertainment,"₹9,876 cr",22.8,28.3,68.40,16.70
Mahindra Logistics,MAHLOG,Logistics & Transportation,"₹8,765 cr",14.2,18.6,42.30,19.40
Blue Dart Express,BLUEDART,Logistics & Transportation,"₹18,234 cr",18.9,24.7,58.60,14.80
VRL Logistics,VRLLOG,Logistics & Transportation,"₹6,543 cr",16.4,21.2,28.40,12.60
TCI Express,TCIEXP,Logistics & Transportation,"₹5,432 cr",20.8,26.4,48.70,15.30
CONCOR,CONCOR,Logistics & Transportation,"₹45,678 cr",15.6,19.8,22.10,11.40
Avenue Supermarts (DMart),DMART,Retail,₹2.89 lakh cr,18.4,24.6,128.40,22.70
Trent,TRENT,Retail,₹1.67 lakh cr,22.8,29.3,186.70,34.50
V-Mart Retail,VMART,Retail,"₹6,789 cr",16.2,21.4,38.90,18.20
Shoppers Stop,SHOPERSTOP,Retail,"₹4,567 cr",12.8,17.3,N/A,28.60
Relaxo Footwears,RELAXO,Retail,"₹12,345 cr",15.6,20.1,42.30,14.90
Hindustan Aeronautics,HAL,Defense & Aerospace,₹2.78 lakh cr,28.9,34.6,38.70,24.30
Bharat Electronics,BEL,Defense & Aerospace,₹2.34 lakh cr,24.6,31.2,42.10,19.80
Bharat Dynamics,BDL,Defense & Aerospace,"₹43,210 cr",22.4,28.7,58.60,21.40
Mazagon Dock,MAZDOCK,Defense & Aerospace,"₹56,789 cr",36.8,43.2,43.90,18.60
Solar Industries,SOLARINDS,Defense & Aerospace,"₹67,234 cr",26.4,32.8,78.40,22.90
