2026-01-04 07:51:59,125 | INFO | config.enhanced_config_manager | Timing config loaded: enabled=False
2026-01-04 08:04:41,486 | ERROR | src.core.warmup_manager | Indicator calculation failed for INFY: input array type is not double
2026-01-04 08:04:41,486 | INFO | src.core.warmup_manager | Technical indicators calculated: 0 total indicators
2026-01-04 08:04:41,487 | INFO | src.core.warmup_manager |   ✅ Completed: calculate_indicators (0.07s, 0 data points)
2026-01-04 08:04:41,487 | INFO | src.core.warmup_manager |   🔄 Executing: warmup_timing
2026-01-04 08:04:52,670 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 08:04:52,670 | INFO | src.core.realtime_monitor | Real-time market monitor initialized with 60s update interval
2026-01-04 08:04:52,671 | INFO | src.core.data_risk_mitigator | Data source risk mitigator initialized
2026-01-04 08:04:52,671 | INFO | src.strategies.market_detector | Registered real-time callbacks for market events
2026-01-04 08:04:52,671 | INFO | src.core.realtime_monitor | Started monitoring 0 symbols
2026-01-04 08:04:52,671 | INFO | src.strategies.market_detector | Enhanced real-time market detector initialized
2026-01-04 08:04:52,671 | INFO | src.timing.market_regime | Unified MarketRegimeManager initialized
2026-01-04 08:04:53,302 | ERROR | src.strategies.market_detector | Failed to analyze market state: 'dict' object has no attribute 'candle_count'
2026-01-04 08:04:53,303 | INFO | src.timing.market_regime | [MARKET REGIME] SIDEWAYS | confidence=0.50 | volatility=NORMAL
2026-01-04 08:04:53,303 | INFO | src.core.warmup_manager | Timing components warmed up - Current regime: (<MarketRegime.SIDEWAYS: 'SIDEWAYS'>, 0.5)
2026-01-04 08:04:53,304 | INFO | src.core.warmup_manager |   ✅ Completed: warmup_timing (11.82s, 1 data points)
2026-01-04 08:04:53,304 | INFO | src.core.warmup_manager |   🔄 Executing: warmup_regime
2026-01-04 08:04:53,306 | INFO | src.core.warmup_manager | Market regime detection warmed up for 1 symbols
2026-01-04 08:04:53,306 | INFO | src.core.warmup_manager |   ✅ Completed: warmup_regime (0.00s, 1 data points)
2026-01-04 08:04:53,306 | INFO | src.core.warmup_manager |   🔄 Executing: warmup_strategies
2026-01-04 08:04:53,306 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 08:04:53,306 | INFO | src.core.realtime_monitor | Real-time market monitor initialized with 60s update interval
2026-01-04 08:04:53,307 | INFO | src.core.data_risk_mitigator | Data source risk mitigator initialized
2026-01-04 08:04:53,307 | INFO | src.strategies.market_detector | Registered real-time callbacks for market events
2026-01-04 08:04:53,307 | INFO | src.core.realtime_monitor | Started monitoring 0 symbols
2026-01-04 08:04:53,307 | INFO | src.strategies.market_detector | Enhanced real-time market detector initialized
2026-01-04 08:04:53,307 | INFO | src.core.regime_weighting | Regime-aware strategy weighting system initialized
2026-01-04 08:04:53,308 | INFO | src.strategies.gap_trading | Gap trading strategy initialized
2026-01-04 08:04:53,308 | INFO | src.strategies.momentum_adaptive | Momentum adaptive strategy initialized
2026-01-04 08:04:53,309 | INFO | src.strategies.volatility_regime | Volatility regime strategy initialized
2026-01-04 08:04:53,309 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 08:04:53,309 | INFO | src.strategies.correlation_sync | Correlation sync strategy initialized with reactive confidence management
2026-01-04 08:04:53,309 | INFO | src.strategies.adaptive_manager | Adaptive strategy manager initialized with regime-aware weighting in AUTO mode
2026-01-04 08:04:53,622 | ERROR | src.strategies.market_detector | Failed to analyze market state: 'dict' object has no attribute 'candle_count'
2026-01-04 08:04:53,816 | INFO | src.core.regime_weighting | Market regime change: None → MarketRegime.VOLATILE_NEUTRAL
2026-01-04 08:04:53,817 | WARNING | src.core.regime_weighting | Regime change to MarketRegime.VOLATILE_NEUTRAL - invalidating confidence
2026-01-04 08:04:53,817 | INFO | src.core.regime_weighting | Significant weight change - Session: PRE_MARKET, Regime: VOLATILE_NEUTRAL
2026-01-04 08:04:53,817 | INFO | src.core.regime_weighting |   gap_trading: 0.17 (base: 0.25)
2026-01-04 08:04:53,818 | INFO | src.core.regime_weighting |   momentum_adaptive: 0.19 (base: 0.25)
2026-01-04 08:04:53,818 | INFO | src.core.regime_weighting |   volatility_regime: 0.52 (base: 0.25)
2026-01-04 08:04:53,818 | INFO | src.core.regime_weighting |   correlation_sync: 0.12 (base: 0.25)
2026-01-04 08:04:53,818 | INFO | src.strategies.adaptive_manager | Evaluating INFY with strategies: ['gap_trading', 'momentum_adaptive', 'volatility_regime', 'correlation_sync'] | Weights: {'gap_trading': 0.16666666666666666, 'momentum_adaptive': 0.18750000000000003, 'volatility_regime': 0.5208333333333334, 'correlation_sync': 0.125}
2026-01-04 08:04:53,963 | ERROR | src.strategies.market_detector | Failed to analyze market state: 'dict' object has no attribute 'candle_count'
2026-01-04 08:04:54,374 | INFO | src.core.warmup_manager | Strategy managers warmed up for 1 symbols
2026-01-04 08:04:54,375 | INFO | src.core.warmup_manager |   ✅ Completed: warmup_strategies (1.07s, 1 data points)
2026-01-04 08:04:54,376 | INFO | src.core.warmup_manager |   🔄 Executing: validate_warmup
2026-01-04 08:04:54,376 | ERROR | src.core.warmup_manager | Warmup validation failed: Only 1/10 symbols warmed
2026-01-04 08:04:54,376 | ERROR | src.core.warmup_manager |   ❌ Failed: validate_warmup (0.00s) - Only 1/10 symbols warmed
2026-01-04 08:04:54,377 | ERROR | src.core.warmup_manager | ❌ Warmup FAILED with 1 task failures
2026-01-04 08:04:54,377 | INFO | src.core.warmup_manager | ============================================================
2026-01-04 08:04:54,378 | INFO | src.core.warmup_manager | WARMUP SUMMARY
2026-01-04 08:04:54,378 | INFO | src.core.warmup_manager | ============================================================
2026-01-04 08:04:54,379 | INFO | src.core.warmup_manager | Status: FAILED
2026-01-04 08:04:54,379 | INFO | src.core.warmup_manager | Duration: 28.83 seconds
2026-01-04 08:04:54,380 | INFO | src.core.warmup_manager | Symbols warmed: 1/10
2026-01-04 08:04:54,380 | INFO | src.core.warmup_manager | Tasks completed: 5/6
2026-01-04 08:04:54,380 | INFO | src.core.warmup_manager | Failed tasks: 1
2026-01-04 08:04:54,381 | ERROR | src.core.warmup_manager |   - validate_warmup: Only 1/10 symbols warmed
2026-01-04 08:04:54,381 | INFO | src.core.warmup_manager | Indicator Status:
2026-01-04 08:04:54,381 | INFO | src.core.warmup_manager |   ❌ SMA_20
2026-01-04 08:04:54,382 | INFO | src.core.warmup_manager |   ❌ SMA_50
2026-01-04 08:04:54,383 | INFO | src.core.warmup_manager |   ❌ EMA_12
2026-01-04 08:04:54,383 | INFO | src.core.warmup_manager |   ❌ EMA_26
2026-01-04 08:04:54,383 | INFO | src.core.warmup_manager |   ❌ RSI_14
2026-01-04 08:04:54,384 | INFO | src.core.warmup_manager |   ❌ MACD
2026-01-04 08:04:54,384 | INFO | src.core.warmup_manager |   ❌ ATR_14
2026-01-04 08:04:54,384 | INFO | src.core.warmup_manager |   ❌ BOLLINGER_BANDS
2026-01-04 08:04:54,385 | INFO | src.core.warmup_manager | ============================================================
2026-01-04 08:04:54,386 | INFO | src.utils.sector_manager | Sector manager initialized
2026-01-04 08:04:54,386 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-04 08:04:54,386 | INFO | src.core.risk_governor | Added risk rule: EmergencyStop (priority: 5)
2026-01-04 08:04:54,387 | INFO | src.core.risk_governor | Added risk rule: MarketHours (priority: 10)
2026-01-04 08:04:54,387 | INFO | src.core.risk_governor | Added risk rule: DailyLossLimit (priority: 15)
2026-01-04 08:04:54,387 | INFO | src.core.risk_governor | Added risk rule: VolatilityAdjustment (priority: 25)
2026-01-04 08:04:54,388 | INFO | src.core.risk_governor | Risk Governor initialized with 4 risk rules
2026-01-04 08:04:54,388 | INFO | src.core.warmup_manager | WarmupManager initialized for 100 symbols with 60 days lookback
2026-01-04 08:04:54,388 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 08:04:54,389 | INFO | src.core.realtime_monitor | Real-time market monitor initialized with 60s update interval
2026-01-04 08:04:54,389 | INFO | src.core.data_risk_mitigator | Data source risk mitigator initialized
2026-01-04 08:04:54,389 | INFO | src.strategies.market_detector | Registered real-time callbacks for market events
2026-01-04 08:04:54,390 | INFO | src.core.realtime_monitor | Started monitoring 0 symbols
2026-01-04 08:04:54,390 | INFO | src.strategies.market_detector | Enhanced real-time market detector initialized
2026-01-04 08:04:54,390 | INFO | src.core.regime_weighting | Regime-aware strategy weighting system initialized
2026-01-04 08:04:54,391 | INFO | src.strategies.gap_trading | Gap trading strategy initialized
2026-01-04 08:04:54,392 | INFO | src.strategies.momentum_adaptive | Momentum adaptive strategy initialized
2026-01-04 08:04:54,392 | INFO | src.strategies.volatility_regime | Volatility regime strategy initialized
2026-01-04 08:04:54,393 | INFO | src.core.confidence_manager | Reactive confidence manager initialized
2026-01-04 08:04:54,393 | INFO | src.strategies.correlation_sync | Correlation sync strategy initialized with reactive confidence management
2026-01-04 08:04:54,393 | INFO | src.strategies.adaptive_manager | Adaptive strategy manager initialized with regime-aware weighting in AUTO mode
2026-01-04 08:04:54,394 | INFO | src.core.engine | Adaptive strategies initialized successfully
2026-01-04 08:04:54,394 | INFO | src.core.engine | Trading engine initialized with timing intelligence disabled
2026-01-04 08:04:54,394 | INFO | src.core.engine | Trading engine initialized with enhanced risk management
2026-01-04 08:04:54,395 | INFO | src.execution.adapter | Initialized PAPER execution adapter
2026-01-04 08:04:54,395 | INFO | src.broker.zerodha | ZerodhaBroker initialized in PAPER mode
2026-01-04 08:04:54,396 | INFO | src.broker.zerodha | Paper trading: No real connection required
2026-01-04 08:04:54,396 | INFO | src.execution.paper | Paper trading initialized
2026-01-04 08:04:54,396 | INFO | src.execution.paper | Paper trading mode initialized
2026-01-04 08:04:54,402 | INFO | src.core.system_arming | Added kill switch: emergency_file (Critical)
2026-01-04 08:04:54,403 | INFO | src.core.system_arming | Added kill switch: daily_loss_limit (Critical)
2026-01-04 08:04:54,403 | INFO | src.core.system_arming | Added kill switch: capital_availability (Critical)
2026-01-04 08:04:54,404 | INFO | src.core.system_arming | Added kill switch: market_hours (Non-critical)
2026-01-04 08:04:54,404 | INFO | src.core.system_arming | Added kill switch: system_health (Critical)
2026-01-04 08:04:54,404 | INFO | src.core.system_arming | Added kill switch: config_integrity (Critical)
2026-01-04 08:04:54,405 | INFO | src.core.system_arming | Added kill switch: state_integrity (Critical)
2026-01-04 08:04:54,405 | INFO | src.core.system_arming | System Arming initialized with 7 kill switches
2026-01-04 08:04:54,406 | INFO | src.core.system_arming | Starting system arming sequence...
2026-01-04 08:04:54,406 | ERROR | src.core.system_arming | Capital availability check failed: 'CapitalParameters' object has no attribute 'max_position_value'
2026-01-04 08:04:54,406 | ERROR | src.core.system_arming | Critical safety check failed: capital_availability
2026-01-04 08:07:14,528 | INFO | config.enhanced_config_manager | Timing config loaded: enabled=False
2026-01-04 08:07:14,529 | INFO | src.core.risk_manager | Risk Manager initialized with comprehensive risk controls
2026-01-04 08:07:14,529 | INFO | src.screener.excel_screener | Excel screener initialized: MiniRobo.xlsx
2026-01-04 08:07:17,184 | INFO | src.screener.excel_screener | Loaded 100 enabled stocks from universe
2026-01-04 08:07:17,896 | INFO | src.core.warmup_manager | WarmupManager initialized for 10 symbols with 60 days lookback
